[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.000450s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1412611200) AND (`e_date` < 1412697600)  ) LIMIT 1   [ RunTime:0.000331s ]
[ 2014-10-07T09:03:45+08:00 ] /zj906/index.php | SQL: SELECT `s2`,`i4`,`str29` FROM `xt_fee` LIMIT 1   [ RunTime:0.000306s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.006587s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000713s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SELECT `prem` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000429s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000543s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 175 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 2 CommonAction.class.php 第 176 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | NOTIC: [8] Undefined offset: 3 CommonAction.class.php 第 177 行.
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SELECT `s11` FROM `xt_fee` LIMIT 1   [ RunTime:0.000277s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007879s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.003620s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | SQL: SELECT `id`,`user_id`,`agent_cf`,`re_path` FROM `xt_fck` WHERE is_pay>0 and agent_cf>=10  [ RunTime:0.000336s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 145 行.
